postid,title,category,sharecount,published_date,claim,key_word
132639,Is California’s Governor Requiring Students Use Arabic Numbers in Schools?,Politics,12000,2018-03-14 12:59,"California Gov. Jerry Brown signed a new ""culture"" bill requiring that Arabic, not ""American,"" numbers be taught in schools.",California Jerry Brown 
15693,Did George Washington Want Citizens Armed Against the Government?,Politics,12000,2016-01-07 0:00,"George Washington said that a free people need ""sufficient arms and ammunition to maintain a status of independence"" from their own government.",George Washington 
5223,Is the Owner of Jimmy John’s a Big-Game Hunter?,Politics,11000,2015-07-31 0:00,"Photographs show Jimmy John Liautaud, the owner of Jimmy John's Gourmet Sandwiches, on big game hunts.",Jimmy John Liautaud
115393,Does The Republican Tax Bill Include a Tax Loophole Benefitting Golf Course Owners?,Politics,11000,2017-11-17 10:41,The Republican-sponsored Tax Cuts and Jobs Act includes a deduction benefitting golf course owners., Tax Cuts and Jobs Act
23772,Has Facebook Launched a ‘No Swearing’ Campaign?,Computers,11000,2014-03-04 0:00,Facebook has instituted a 'no swearing' campaign and threatened to lock the accounts of users who employ profanity.,facebook no swearing
131010,Does Delta Airlines Give Planned Parenthood Members Discounted Rates?,Politics,11000,2018-03-01 15:19,Delta Airlines gives members of Planned Parenthood discounted rates on air travel.,Delta Airlines parenthood 
44496,Vaping Causes ‘Popcorn Lung’?,Medical,11000,2016-08-08 0:00,"A study proved e-cigarette use (or vaping) leads to an incurable condition known as ""popcorn lung.""",e-cigarette popcorn lung
130064,Did CNN Give a Parkland Shooting Survivor Scripted Questions?,Politics,11000,2018-02-22 11:41,"CNN asked a survivor of the 14 February 2018 mass shooting in Parkland, Florida to deliver scripted remarks during a televised town hall.",cnn parkland 
12458,Was Anne Frank Denied Refugee Status by the U.S.?,Immigration,11000,2015-11-19 0:00,The family of Anne Frank sought (and was denied) refugee status in the United States.,Anne Frank refugee
24022,Drano Bottle Bombs,Fact Check,11000,2010-04-27 0:00,Plastic soda bottles left in unsuspecting residents' yards may be bottle bombs.,Plastic soda bottles
128380,Did Obama’s Portraitist Paint an Image of a Black Woman Holding the Severed Head of a White Person?,Racial Rumors,11000,2018-02-13 12:28,"Kehinde Wiley, the artist who painted former President Barack Obama's official portrait, also produced a pair of paintings depicting black women decapitating white people.",Kehinde Wiley
119118,Did Sexual Assault Allegations Against Donald Trump Only Start With the 2016 Election?,Fake News,11000,2017-12-14 16:57,Donald Trump was not accused of sexual assault until he ran for President in 2016.,trump sexual assault
24407,Is ‘Paint Thinner’ Trisodium Phosphate Found in Cereals?,Food,11000,2014-10-15 0:00,"Popular cereals (including Lucky Charms and Cheerios) contain ""paint thinner"" and pose a danger to children.",lucky charms paint thinner
